# im_width, im_height, im_size, im_kbytes, box_size, walltime, maxrss
356, 356, 126736, 990.125, 20,0.85,111652864
712, 712, 506944, 3960.5, 20,0.85,118730752
1424, 1424, 2027776, 15842, 20,0.90,149381120
2848, 2848, 8111104, 63368, 20,1.05,270934016
5696, 5696, 32444416, 253472, 20,1.70,758001664
2848, 2848, 8111104, 63368, 10,1.12,270942208
2848, 2848, 8111104, 63368, 20,1.18,270712832
2848, 2848, 8111104, 63368, 30,1.16,270614528
2848, 2848, 8111104, 63368, 40,1.17,270872576
2848, 2848, 8111104, 63368, 50,1.12,270561280
2848, 2848, 8111104, 63368, 60,1.16,270647296
5696, 5696, 32444416, 253472, 10,1.67,757407744
5696, 5696, 32444416, 253472, 20,1.67,757424128
5696, 5696, 32444416, 253472, 30,1.66,757559296
5696, 5696, 32444416, 253472, 40,1.67,757710848
5696, 5696, 32444416, 253472, 50,1.68,757874688
5696, 5696, 32444416, 253472, 60,1.69,757587968
